mq2,mq135,temp,hum,lat,lon,alt
3.13,100.28,32,15,52.470459,13.428798,66.8
3.13,95.24,32,15,52.470459,13.428798,65.7
3.13,97.73,32,15,52.470551,13.429031,64.8
3.13,102.87,32,15,52.470631,13.429174,64.8
3.13,95.24,32,15,52.470631,13.429174,63.9
3.13,100.28,32,15,52.470608,13.429106,63.9
3.13,92.79,32,15,52.470608,13.429106,63.6
3.13,100.28,32,15,52.4706,13.429051,63.4
3.13,100.28,32,15,52.470585,13.428998,63.4
3.00,100.28,32,15,52.470585,13.428998,63.1
3.00,97.73,32,15,52.470547,13.428959,63.1
3.13,100.28,32,15,52.470547,13.428959,62.9
3.00,100.28,32,15,52.470516,13.428903,62.7
3.00,97.73,32,15,52.470501,13.428865,62.7
3.13,97.73,32,15,52.470501,13.428865,62.6
3.13,97.73,32,15,52.470474,13.42885,62.6
3.00,100.28,32,15,52.470474,13.42885,62.4
3.00,97.73,32,15,52.470448,13.428852,62.3
3.13,92.79,32,15,52.470463,13.428779,62.3
3.13,97.73,32,15,52.470463,13.428779,62.1
3.13,95.24,32,15,52.47044,13.428661,62.1
3.13,95.24,32,15,52.47044,13.428661,62.5
3.13,90.39,32,15,52.470413,13.428563,63
3.25,95.24,32,15,52.470398,13.428502,63
3.13,95.24,32,15,52.470398,13.428502,63.3
3.13,95.24,32,15,52.470379,13.428462,63.6
3.13,100.28,32,15,52.470394,13.428389,63.8
3.13,100.28,32,15,52.470364,13.428361,64
3.13,97.73,32,15,52.470413,13.428229,63.9
3.00,97.73,32,15,52.470573,13.427909,63.6
3.00,95.24,32,15,52.470699,13.427659,63.6
3.00,95.24,32,15,52.470699,13.427659,63.5
3.00,97.73,32,15,52.470726,13.427593,63.4
3.00,95.24,32,15,52.470745,13.427544,63.3
3.00,95.24,32,15,52.470772,13.427486,63.3
3.00,92.79,32,15,52.470772,13.427486,63.2
3.00,95.24,32,15,52.47086,13.427546,63.2
2.88,92.79,32,15,52.47086,13.427546,62.4
2.88,95.24,32,15,52.470592,13.428059,62.4
2.88,92.79,32,15,52.470592,13.428059,62.9
2.88,92.79,32,15,52.47047,13.42824,62.9
2.88,92.79,32,15,52.47047,13.42824,63.1
2.88,92.79,32,15,52.470402,13.428319,63.2
2.88,95.24,32,15,52.470364,13.428379,63.3
2.88,95.24,32,15,52.470341,13.428411,63.3
2.77,92.79,32,15,52.470341,13.428411,63.4
2.88,92.79,32,15,52.470306,13.428399,63.5
2.88,95.24,32,15,52.470287,13.428387,63.6
2.88,92.79,32,15,52.470268,13.428394,63.6
2.88,92.79,32,15,52.470268,13.428394,63.7
2.24,83.45,32,15,52.469498,13.427875,62.8
2.34,83.45,33,14,52.469955,13.428159,64
2.34,83.45,33,14,52.470013,13.428196,64
2.34,81.22,33,14,52.470013,13.428196,64.2
2.34,83.45,33,14,52.470039,13.428209,64.4
2.24,81.22,33,14,52.470051,13.428216,64.5
2.34,81.22,33,14,52.470058,13.428212,64.5
2.34,76.90,33,14,52.470058,13.428212,64.7
2.24,81.22,33,14,52.470055,13.428198,64.8
2.24,81.22,33,14,52.470047,13.428178,65
2.24,79.04,33,14,52.470043,13.428164,65
2.14,81.22,33,14,52.470055,13.428162,65
2.24,76.90,33,14,52.470055,13.428162,64.9
2.14,79.04,33,14,52.470055,13.428155,64.9
2.14,79.04,33,14,52.470085,13.428165,65.3
2.14,79.04,33,14,52.470089,13.428156,65.3
2.14,74.80,33,14,52.470089,13.428156,65.7
2.14,79.04,33,14,52.470093,13.428143,65.7
2.05,76.90,33,14,52.470093,13.428143,66
2.05,76.90,33,14,52.470097,13.428137,66.5
2.05,79.04,33,14,52.470104,13.428135,66.5
2.05,79.04,33,14,52.470116,13.428135,66.5
2.05,76.90,33,14,52.470116,13.428135,66.8
2.05,79.04,33,14,52.470119,13.428133,67.1
2.05,79.04,33,14,52.470123,13.428125,67.2
2.05,79.04,33,14,52.470142,13.428114,67.2
2.14,76.90,33,14,52.470142,13.428114,67.1
2.05,79.04,33,14,52.470154,13.42811,67.4
2.05,79.04,33,14,52.470165,13.428104,68
2.05,79.04,33,14,52.470173,13.428101,68
2.14,74.80,33,14,52.470173,13.428101,68.3
2.05,79.04,33,14,52.470173,13.428085,68.3
2.14,76.90,33,14,52.470173,13.428085,68.6
2.14,81.22,33,14,52.470181,13.428079,68.8
2.05,79.04,33,14,52.470165,13.428063,68.8
2.14,76.90,33,14,52.470165,13.428063,67.4
2.14,79.04,33,14,52.470161,13.428052,67.4
2.05,76.90,33,14,52.470161,13.428052,66.7
2.14,79.04,33,14,52.470165,13.428035,66.8
2.14,79.04,33,14,52.470165,13.428029,66.8
2.05,74.80,33,14,52.470165,13.428029,67.2
2.05,76.90,33,14,52.470173,13.428025,67.2
2.14,76.90,33,14,52.470173,13.428025,66.9
2.14,79.04,33,14,52.470177,13.428014,67.2
2.05,79.04,33,14,52.470184,13.428003,67.2
2.05,76.90,33,14,52.470184,13.428003,67.9
2.14,81.22,33,14,52.470184,13.427987,67.9
1.96,76.90,33,14,52.470184,13.427987,68.8
2.05,79.04,33,14,52.470181,13.42798,70.1
2.14,79.04,33,14,52.470184,13.427976,70.1
2.05,76.90,33,14,52.470184,13.427976,70.6
2.14,76.90,33,14,52.470184,13.427963,71.4
2.05,81.22,33,14,52.470181,13.427947,71.6
2.05,76.90,33,14,52.470184,13.427935,72
2.05,74.80,33,14,52.470192,13.427918,72
1.96,74.80,33,14,52.470192,13.427918,72.3
2.05,74.80,33,14,52.4702,13.427903,72
1.96,76.90,33,14,52.470211,13.427892,72.2
1.96,76.90,33,14,52.470226,13.427876,72.2
2.05,74.80,33,14,52.470226,13.427876,72.7
1.96,76.90,33,14,52.470234,13.427869,72.7
1.96,72.75,33,14,52.470234,13.427869,73.3
1.96,76.90,33,14,52.470215,13.427842,72.7
1.96,74.80,33,14,52.470219,13.427832,72.7
1.96,72.75,33,14,52.470219,13.427832,73.3
1.96,74.80,33,14,52.470207,13.427812,72.3
1.96,74.80,33,14,52.470203,13.427796,73.3
1.96,74.80,33,14,52.4702,13.427782,73.3
1.96,74.80,33,14,52.4702,13.427782,75
1.96,74.80,33,14,52.470188,13.427765,74.6
1.87,76.90,33,14,52.470188,13.427752,74.5
1.96,76.90,33,14,52.470184,13.427738,75.4
1.96,74.80,33,14,52.470188,13.427727,75.4
1.96,72.75,33,14,52.470188,13.427727,75.8
1.87,72.75,33,14,52.470192,13.427708,76.4
1.96,74.80,33,14,52.470192,13.427702,76.4
2.05,74.80,33,14,52.470192,13.427697,76.4
1.96,72.75,33,14,52.470192,13.427697,76.9
1.96,74.80,33,14,52.470188,13.427693,77.4
1.87,76.90,33,14,52.470184,13.427693,78
1.96,76.90,34,14,52.470177,13.42769,78
1.96,72.75,34,14,52.470177,13.42769,78.9
1.96,76.90,34,14,52.470173,13.427685,79.3
1.87,79.04,34,14,52.470173,13.427677,79.5
1.96,74.80,34,14,52.470177,13.427672,79.5
1.96,72.75,34,14,52.470177,13.427672,79.8
1.96,74.80,34,14,52.470177,13.427662,80.3
1.87,76.90,34,14,52.4701,13.42759,75.9
1.96,76.90,34,14,52.470108,13.42759,76.6
1.96,76.90,34,14,52.470097,13.427571,76.6
1.87,72.75,34,14,52.470097,13.427571,77.3
1.96,74.80,34,14,52.470089,13.427554,75.4
1.96,76.90,34,14,52.470085,13.427553,74.5
1.96,76.90,34,14,52.470085,13.427558,74.5
1.96,74.80,34,14,52.470085,13.427558,72.7
1.96,74.80,34,14,52.470085,13.427562,72.8
1.87,76.90,34,14,52.470089,13.427567,72.8
1.96,74.80,34,14,52.470089,13.427569,72.8
1.96,76.90,34,14,52.4701,13.427569,72.8
1.96,74.80,34,14,52.4701,13.427569,73
1.96,74.80,34,14,52.470104,13.427567,74
